customer_id,full_name,nik,phone,email,city,province,registration_date,registration_channel,loyalty_tier,lifetime_value,preferred_store_id,consent_marketing,consent_analytics,consent_third_party,churn_risk_score,first_purchase_date,last_purchase_date
CUST0000001,Customer 1,4993908926137150,6281659152017,customer1@email.com,Semarang,Jawa Tengah,2020-07-10,REFERRAL,DIAMOND,29750792.54,STR0002,True,False,True,75.86,2020-08-09,2020-10-20
CUST0000002,Customer 2,4501896164236103,+6286642147649,customer2@email.com,Surabaya,Jawa Timur,2024-02-07,PAID_SEARCH,SILVER,24532189.49,STR0227,True,True,True,9.06,2024-02-20,2024-07-18
CUST0000003,Customer 3,8573278814761742,+6284386490810,customer3@email.com,Makassar,Sulawesi Selatan,2024-07-18,REFERRAL,SILVER,36043468.97,STR0209,True,True,False,27.66,2024-07-21,2025-02-23
CUST0000004,Customer 4,6459779452321941,6288006102776,customer4@email.com,Solo,Jawa Tengah,2024-02-25,PAID_SOCIAL,SILVER,30963118.79,STR0158,True,True,True,22.77,2024-03-05,2024-09-25
CUST0000005,Customer 5,3037236831472760,+6282277707933,customer5@email.com,Surabaya,Jawa Timur,2020-06-28,REFERRAL,BRONZE,5222909.73,STR0217,True,True,True,85.8,2020-07-17,2020-07-31
CUST0000006,Customer 6,8997308069581467,+6287957602437,customer6@email.com,Jakarta Timur,DKI Jakarta,2024-02-06,ORGANIC,PLATINUM,17023734.63,STR0155,True,True,True,44.74,2024-02-29,2024-12-29
CUST0000007,Customer 7,2934172232971674,+6283800545228,customer7@email.com,Binjai,Sumatera Utara,2023-12-27,REFERRAL,SILVER,6122332.84,STR0058,True,True,True,39.62,2024-01-20,2025-03-27
CUST0000008,Customer 8,7711991808121352,084787125521,customer8@email.com,Balikpapan,Kalimantan Timur,2024-12-02,REFERRAL,GOLD,12341271.62,STR0208,True,True,False,16.97,2024-12-24,2025-06-04
CUST0000009,Customer 9,3266678507208115,6286260602908,customer9@email.com,Magelang,Jawa Tengah,2024-03-25,PAID_SEARCH,GOLD,43689963.57,STR0185,True,True,False,17.59,2024-04-10,2024-12-31
CUST0000010,Customer 10,9975634108562884,+6281884852008,customer10@email.com,Denpasar,Bali,2023-06-04,PAID_SEARCH,GOLD,49349039.54,STR0029,True,True,False,27.84,2023-06-07,2024-08-20
CUST0000011,Customer 11,0753998935449268,083158935712,customer11@email.com,Badung,Bali,2020-04-07,ORGANIC,BRONZE,44436613.91,STR0122,True,True,True,23.12,2020-04-24,2020-09-11
CUST0000012,Customer 12,7762282772881377,+6282851961159,customer12@email.com,Sleman,Yogyakarta,2022-11-28,ORGANIC,BRONZE,18785542.06,STR0076,True,True,False,31.53,2022-11-29,2023-09-24
CUST0000013,Customer 13,1851067949756792,+6288777251996,customer13@email.com,Magelang,Jawa Tengah,2021-09-16,REFERRAL,BRONZE,33555147.59,STR0114,True,True,True,36.82,2021-10-04,2022-05-24
CUST0000014,Customer 14,1398909837801820,6283397189569,customer14@email.com,Balikpapan,Kalimantan Timur,2023-07-14,ORGANIC,SILVER,20805327.53,STR0221,True,True,False,49.09,2023-07-31,2024-06-24
CUST0000015,Customer 15,6209520046152654,6281033993788,customer15@email.com,Tangerang,Banten,2020-12-10,ORGANIC,SILVER,20413115.53,STR0124,False,True,True,60.65,2020-12-27,2021-02-24
CUST0000016,Customer 16,6718325823868700,6289420074946,customer16@email.com,Balikpapan,Kalimantan Timur,2023-04-15,ORGANIC,GOLD,14137433.31,STR0042,True,True,True,22.79,2023-04-18,2024-01-22
CUST0000017,Customer 17,8554743553795020,087002687681,customer17@email.com,Tangerang Selatan,Banten,2024-08-27,ORGANIC,BRONZE,41620984.85,STR0172,True,True,True,73.17,2024-09-15,2025-02-15
CUST0000018,Customer 18,3703045319433750,6287930361498,customer18@email.com,Bogor,Jawa Barat,2022-01-03,PAID_SOCIAL,SILVER,34150941.71,STR0145,True,True,True,10.73,2022-02-01,2022-02-10
CUST0000019,Customer 19,0894870605664187,6285803046875,customer19@email.com,Tangerang,Banten,2023-03-13,ORGANIC,SILVER,1366059.75,STR0189,True,True,True,46.26,2023-03-19,2024-09-28
CUST0000020,Customer 20,0954317350583199,6281791100651,customer20@email.com,Bandung,Jawa Barat,2020-12-02,PAID_SEARCH,BRONZE,30575858.12,STR0111,False,True,True,70.32,2020-12-14,2021-01-17
CUST0000021,Customer 21,9076769915078593,+6281091939284,customer21@email.com,Sidoarjo,Jawa Timur,2022-04-02,PAID_SOCIAL,BRONZE,6969868.03,STR0012,False,True,True,93.59,2022-04-26,2022-08-15
CUST0000022,Customer 22,9545089203880653,+6283153779599,customer22@email.com,Semarang,Jawa Tengah,2022-01-02,REFERRAL,BRONZE,22769674.49,STR0203,True,True,True,82.36,2022-01-24,2022-06-19
CUST0000023,Customer 23,5636205015081247,+6289500334234,customer23@email.com,Malang,Jawa Timur,2021-04-16,PAID_SOCIAL,BRONZE,1172452.2,STR0216,True,True,True,11.18,2021-05-06,2021-12-20
CUST0000024,Customer 24,5528961122338655,086309938425,customer24@email.com,Malang,Jawa Timur,2024-05-31,ORGANIC,BRONZE,25462647.11,STR0150,True,True,False,26.18,2024-06-21,2025-06-11
